Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TF33DL9L4P,2025-06-03 17:53:00.010,Merchant Payment Online to 6900165 -             ALONG MAGOK MAJOK DHOR,Completed,,-320.0,3903.76
TF39C7J3F3,2025-06-03 12:58:59.981,Customer Transfer to - 01******452 NAncy okoth,Completed,,-100.0,4223.76
TF38C4RRTE,2025-06-03 12:40:59.981,Customer Transfer of Funds Charge,Completed,,-13.0,4323.76
TF38C4RRTE,2025-06-03 12:40:59.981,Customer Transfer to - 01******452 NAncy okoth,Completed,,-600.0,4336.76
TF2693E27Q,2025-06-02 18:29:00.010,Customer Transfer of Funds Charge,Completed,,-13.0,4936.76
TF2693E27Q,2025-06-02 18:29:00.010,Customer Transfer to - 01******452 NAncy okoth,Completed,,-700.0,4949.76
TEV8ZPPKO4,2025-05-31 20:21:59.990,Customer Transfer of Funds Charge,Completed,,-7.0,5649.76
TEV8ZPPKO4,2025-05-31 20:21:59.990,Customer Transfer to - 07******576 WARUGURU IDDA,Completed,,-500.0,5656.76
TEV3ZPFRDN,2025-05-31 20:21:00.029,Pay Bill Charge,Completed,,-42.0,6156.76
TEV3ZPFRDN,2025-05-31 20:21:00.029,Pay Bill Online to 247247 - Equity Paybill Account Acc. 0510173643067,Completed,,-6000.0,6198.76
TEV2ZP37LQ,2025-05-31 20:19:59.981,Pay Bill Charge,Completed,,-18.0,12198.76
TEV2ZP37LQ,2025-05-31 20:19:59.981,Pay Bill Online to 505000 - OLD MUTUAL LIFE ASSURANCE KENYA LIMITED. Acc. OMU000329285,Completed,,-15000.0,12216.76
TEV5ZOYWVT,2025-05-31 20:19:00.019,Pay Bill Charge,Completed,,-34.0,27216.76
TEV5ZOYWVT,2025-05-31 20:19:00.019,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 37325314DEP,Completed,,-5000.0,27250.76
TEV8ZOU1MG,2025-05-31 20:19:00.019,Customer Transfer of Funds Charge,Completed,,-23.0,32250.76
TEV8ZOU1MG,2025-05-31 20:19:00.019,Customer Transfer to - 07******576 WARUGURU IDDA,Completed,,-1100.0,32273.76
TEV2ZOBL38,2025-05-31 20:15:59.962,Pay Bill Charge,Completed,,-34.0,33373.76
TEV2ZOBL38,2025-05-31 20:15:59.962,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 33826744DEP,Completed,,-5000.0,33407.76
TEV2YWW1DA,2025-05-31 18:33:00.029,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-250.0,38407.76
TEV9YPRF5D,2025-05-31 18:02:00.010,Customer Transfer of Funds Charge,Completed,,-7.0,38657.76
TEV9YPRF5D,2025-05-31 18:02:00.010,Customer Transfer to - 2547******267 PETER MUCHAI,Completed,,-200.0,38664.76
TEV1YISWF9,2025-05-31 17:28:59.981,,Completed,40742.0,,40742.0
TEV0YISX20,2025-05-31 17:28:59.981,,Completed,,-1877.24,38864.76
TEV0YBIOE4,2025-05-31 16:52:00.019,,Completed,,-3639.0,0.0
TEV0YBIOE4,2025-05-31 16:52:00.019,of Credit Party,Completed,1858.65,,3639.0
TEV9YBDP79,2025-05-31 16:50:59.971,,Completed,846.0,,1780.35
TET4NA78BK,2025-05-29 11:35:59.971,,Completed,,-753.0,934.35
TET0N9Y0ZE,2025-05-29 11:35:00.010,,Completed,1500.0,,1687.35
TES3K69ED1,2025-05-28 17:35:59.971,,Completed,,-7.0,187.35
TES3K69ED1,2025-05-28 17:35:59.971,,Completed,,-400.0,194.35
TER3FFVE9T,2025-05-27 17:08:59.971,,Completed,,-13.0,594.35
TER3FFVE9T,2025-05-27 17:08:59.971,,Completed,,-1000.0,607.35
TER2F1L3SY,2025-05-27 15:42:59.990,,Completed,,-892.65,1607.35
TER5F1KSPB,2025-05-27 15:42:59.990,,Completed,2500.0,,2500.0
TER1EEWMTZ,2025-05-27 13:14:59.971,,Completed,,-13.0,0.0
TER1EEWMTZ,2025-05-27 13:14:59.971,,Completed,,-750.0,13.0
TER1EEWMTZ,2025-05-27 13:14:59.971,of Credit Party,Completed,763.0,,763.0
TEQ3CJDWD9,2025-05-26 22:03:59.962,,Completed,,-7.0,0.0
TEQ3CJDWD9,2025-05-26 22:03:59.962,,Completed,,-150.0,7.0
TEQ3CJDWD9,2025-05-26 22:03:59.962,of Credit Party,Completed,120.81,,157.0
TEQ0CE1XL4,2025-05-26 21:22:59.981,,Completed,,-250.0,36.19
TEQ79W5KW9,2025-05-26 13:41:00.010,,Completed,,-7.0,286.19
TEQ79W5KW9,2025-05-26 13:41:00.010,,Completed,,-500.0,293.19
TEQ99W28HL,2025-05-26 13:39:59.962,,Completed,,-5.0,793.19
TEQ29VXC5M,2025-05-26 13:39:00.000,,Completed,,-4000.0,798.19
TEQ79FXSXT,2025-05-26 11:55:00.019,,Completed,,-1000.0,4798.19
TEQ09FT0KW,2025-05-26 11:53:59.971,,Completed,,-201.81,5798.19
TEQ99FTD4J,2025-05-26 11:53:59.971,,Completed,6000.0,,6000.0
TEN3WQOQCD,2025-05-23 18:53:00.038,,Completed,,-7.0,0.0
TEN3WQOQCD,2025-05-23 18:53:00.038,,Completed,,-280.0,7.0
TEN3WQOQCD,2025-05-23 18:53:00.038,of Credit Party,Completed,199.81,,287.0
TEM9QEAS8D,2025-05-22 12:42:59.990,,Completed,,-62.0,87.19
TEM9QEAS8D,2025-05-22 12:42:59.990,,Completed,,-19000.0,149.19
TEM4Q2HDGA,2025-05-22 11:19:59.981,,Completed,,-850.81,19149.19
TEM4Q2H26G,2025-05-22 11:19:59.981,,Completed,20000.0,,20000.0
TEL0OFRQ6C,2025-05-21 21:13:59.981,,Completed,,-33.0,0.0
TEL0OFRQ6C,2025-05-21 21:13:59.981,,Completed,,-2000.0,33.0
TEL0OFRQ6C,2025-05-21 21:13:59.981,of Credit Party,Completed,842.38,,2033.0
TEL0LD5HIQ,2025-05-21 11:10:00.019,,Completed,,-13.0,1190.62
TEL0LD5HIQ,2025-05-21 11:10:00.019,,Completed,,-1000.0,1203.62
TEK4GYSD1W,2025-05-20 12:11:59.971,,Completed,,-1300.0,2203.62
TEK9GYQWXD,2025-05-20 12:11:59.971,,Completed,4286.0,,4286.0
TEK5GYR9KJ,2025-05-20 12:11:59.971,,Completed,,-782.38,3503.62
TEK7G8KS19,2025-05-20 09:06:00.029,,Completed,,-13.0,0.0
TEK7G8KS19,2025-05-20 09:06:00.029,,Completed,,-600.0,13.0
TEK7G8KS19,2025-05-20 09:06:00.029,of Credit Party,Completed,613.0,,613.0
TEK7G42ML7,2025-05-20 08:32:00.038,,Completed,1483.0,,1483.0
TEK5G42XPZ,2025-05-20 08:32:00.038,,Completed,,-1483.0,0.0
